Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
New Zealand,energy use,0.6911907,0.7694616,0.8019505,0.8944651,0.8752759,0.9321087,0.9750611,0.9462852,0.881233,0.8984838,0.890592,0.9509239,0.9843703,1.0491548,1.1197067,1.1245495,1.130495,1.184913,1.269116,1.2868401,1.3179981,1.3459857,1.424036,1.4576669,1.4889706,1.545521,1.6077727,1.5851418,1.6541656,1.7059151,1.7120777,1.7119375,1.6847191,1.7392539,1.6846011,1.6965749,1.7123879,1.741345,1.7457209,1.8198112
Nicaragua,energy use,0.1240308,0.1268747,0.138242,0.1446185,0.1491473,0.1593144,0.1745673,0.1681219,0.1447745,0.153335,0.1570416,0.1595946,0.1659101,0.1852919,0.1938759,0.1956306,0.1972121,0.1930221,0.2041469,0.2092672,0.2160776,0.2239826,0.2219,0.2258457,0.2338082,0.241614,0.2545418,0.2520233,0.2637518,0.2720426,0.2768317,0.2888116,0.3099826,0.3271121,0.3326146,0.3455178,0.3077817,0.3048363,0.304566,0.3137163
Nigeria,energy use,3.6070719,3.7302959,3.89136,4.0084236,4.173727,4.3816411,4.6059107,4.8192126,5.0139666,5.2459884,5.4861932,5.7534187,5.9210861,5.947981,6.142801,6.2145445,6.4341021,6.621594,6.8469659,7.0582284,7.3839652,7.6683035,7.7944796,7.6203731,7.7539821,8.0778208,8.4311966,8.4447879,8.7472105,9.0595506,9.4633008,9.7388858,9.9007379,10.1751112,10.6509458,10.7004783,10.7673859,11.1210199,10.9239174,11.3053066
Norway,energy use,1.3297897,1.3749626,1.4259719,1.4239229,1.4596105,1.5910937,1.6373526,1.7657594,1.8154127,1.8316506,1.8065138,1.7507066,1.8245111,1.9306781,1.9957706,2.0901218,2.1092127,2.0235823,2.1018592,2.1002542,2.1693677,2.2046827,2.3471252,2.2978452,2.3439685,2.2724526,2.4058944,2.5119642,2.6311405,2.6091569,2.6823281,2.4911859,2.7019684,2.6433097,2.6759316,2.7114337,2.7545596,2.9801445,2.8157112,3.2451747
Oman,energy use,0.0226696,0.0086997,0.0096579,0.0149043,0.0238879,0.0377666,0.0744758,0.0555544,0.084315,0.1149846,0.0980039,0.1485922,0.1368452,0.2248249,0.2110488,0.1987437,0.2288849,0.2208968,0.2564943,0.4218096,0.5840836,0.5450356,0.591284,0.59394,0.6096134,0.625954,0.6725261,0.6784443,0.7043381,0.8082923,0.8419549,0.8817519,0.9349874,0.960297,1.0771988,1.3661551,1.4604962,1.5889204,1.4913414,1.9999226
Pakistan,energy use,1.704052,1.749987,1.8368991,1.9424318,2.0335182,2.0589597,2.152124,2.2327357,2.3585316,2.4827994,2.648502,2.8151579,2.9607459,3.0652682,3.2277657,3.3676842,3.7014779,3.8791115,4.1069532,4.2667886,4.4167442,4.7029513,4.9374292,5.1346487,5.3687311,5.602329,5.7450115,5.861766,6.1775436,6.3486289,6.454285,6.521671,6.8246159,7.2930967,7.5521102,7.8760258,8.3140215,8.1611231,8.407238,8.4594762
Panama,energy use,0.167505,0.1851214,0.2030764,0.2006635,0.1698762,0.1671328,0.164603,0.1627958,0.1730533,0.1406681,0.1508143,0.1655562,0.1759398,0.1623064,0.1556015,0.157949,0.1696229,0.1578077,0.1489909,0.1490878,0.160854,0.1844259,0.1876564,0.1973792,0.1993065,0.2128742,0.2243536,0.2569172,0.2545699,0.2578551,0.2815785,0.2622902,0.2649329,0.2607352,0.2878025,0.3093093,0.3001224,0.3115981,0.3429872,0.3772609
Paraguay,energy use,0.1368454,0.1403768,0.1519315,0.1506853,0.147395,0.1567255,0.1704052,0.1901709,0.192929,0.2084611,0.2080573,0.2123222,0.217098,0.2211606,0.225767,0.2352228,0.2715653,0.2903604,0.3162569,0.3072102,0.3172193,0.3157439,0.3280285,0.3585267,0.3925598,0.401607,0.4367987,0.4310936,0.4113201,0.3850262,0.3918669,0.3885031,0.396471,0.4002442,0.3954072,0.4075662,0.4224895,0.4347922,0.4475748,0.4788545
Peru,energy use,0.9128113,0.9130335,0.951116,1.006189,1.0355063,1.0516652,1.0897756,1.0577677,1.0540884,1.1257754,1.1327547,1.1531882,1.0603699,1.086365,1.0580084,1.0775746,1.1063851,1.0881513,1.0043058,0.9734265,0.9548813,0.9286567,0.9913782,1.0269724,1.0971189,1.1299722,1.0937913,1.1505188,1.2257085,1.2221668,1.1795062,1.1873319,1.1637853,1.2874755,1.3645788,1.3247519,1.4334054,1.5044394,1.583375,1.9397846
Philippines,energy use,1.5312914,1.5402795,1.7154684,1.7202109,1.8242296,1.9120119,1.9923588,2.0257592,2.1458315,2.240577,2.252591,2.3121601,2.5150293,2.2618754,2.3761699,2.3760198,2.4837775,2.6270927,2.7623907,2.8616118,2.8587572,2.9897063,2.9870608,3.199761,3.3540986,3.4697569,3.6518834,3.7623152,3.8558712,3.9871503,3.8201585,3.8766766,3.882215,3.8642546,3.8755946,3.8455549,3.8514137,4.0009414,3.8102413,4.0476707
Poland,energy use,8.6124428,8.9045922,9.2878324,9.7069201,10.3045959,10.8495203,11.2802222,12.1974198,12.5667962,12.6619988,11.6502099,12.3636802,12.2549037,11.8524422,12.4698035,12.9757731,13.3175724,13.2271852,12.3725527,10.3104584,10.1005304,9.856059,10.0943791,9.6196369,9.9471563,10.3475134,10.2101037,9.548976,9.298684,8.9115963,8.973258,8.8855084,9.1104843,9.137108,9.2376744,9.7240981,9.6823686,9.7892213,9.3986673,10.1454479
Portugal,energy use,0.6275803,0.6432121,0.6896424,0.7216759,0.7687278,0.8161535,0.7993534,0.8762711,0.9643495,0.9985699,0.9915338,1.10933,1.1132028,1.1154738,1.0964415,1.2124301,1.2449231,1.3021336,1.5765424,1.6739305,1.6945918,1.8023931,1.7762386,1.8230666,2.0211413,2.0044714,2.111533,2.2839632,2.4513989,2.4672946,2.4814552,2.5823772,2.5128694,2.5830836,2.6467183,2.4698319,2.5301558,2.4430269,2.4151701,2.3540988
Qatar,energy use,0.0925933,0.1018295,0.1432572,0.123099,0.2082058,0.1558982,0.1761419,0.162171,0.281643,0.3328477,0.4001913,0.4686368,0.4774886,0.5387929,0.5426782,0.5680835,0.5862226,0.6148177,0.6258933,0.6167728,0.6864125,0.7134412,0.7428754,0.748553,0.7900903,0.8297245,0.9590843,1.0101914,1.0776637,1.0412641,1.1816769,1.2093504,1.313412,1.6499204,1.6808704,1.8343371,2.0554418,2.137428,2.3368399,2.2511553
Romania,energy use,4.2127461,4.4040149,4.783355,4.8064857,5.1803247,5.5913398,5.9512476,6.4126802,6.3672168,6.5227187,6.4752875,6.477077,6.5288831,6.4726653,6.493932,6.6684509,6.9480896,6.9949676,6.9184202,6.2222609,5.1313251,4.6753392,4.5575718,4.300571,4.6574344,4.7699728,4.4883102,4.1027445,3.625087,3.6205002,3.6797904,3.8121144,3.9430255,3.8658336,3.8652853,3.9885026,3.9697939,3.9551051,3.4789327,3.4990152
Saudi Arabia,energy use,0.7358092,0.6250783,0.7232863,0.809308,0.876892,1.0167738,1.1355969,1.7079249,2.2449665,3.1100452,4.2308344,4.741125,5.1837827,4.5704488,4.5993621,4.5945585,5.4922198,6.2875506,6.2881752,5.9759447,6.9596292,7.9230978,8.0966267,8.6513236,8.7545737,9.3073531,8.9216032,9.4786072,9.6631972,10.1324807,10.6656911,11.6953313,12.138242,14.3705683,14.5540236,15.8213832,14.4109484,15.4075602,15.7854656,16.9298253
Senegal,energy use,0.1241801,0.1259653,0.1318904,0.1355269,0.1387997,0.1418362,0.1454385,0.1457826,0.1524151,0.1560874,0.154987,0.1535184,0.1538621,0.1619291,0.15607,0.1633069,0.1740476,0.1655045,0.164485,0.1686396,0.1673614,0.1779015,0.1772967,0.1760918,0.1864835,0.1909866,0.2025117,0.2138357,0.2254369,0.239783,0.2591734,0.2631659,0.2556382,0.2735547,0.2790896,0.2798179,0.299985,0.3076872,0.3266631,0.3381645
Singapore,energy use,0.2730377,0.3378129,0.3754056,0.4004674,0.3711769,0.3883124,0.4100039,0.5212354,0.5078863,0.5131967,0.5381903,0.5258759,0.5887316,0.6708926,0.6765935,0.7179179,0.7640883,0.847296,0.8477701,1.1514794,1.3031509,1.4790314,1.8148796,2.2054439,1.8810815,1.9866771,2.2298642,1.9925555,1.8071057,1.8717806,2.1207074,2.0843445,2.5230106,3.0792953,2.2456548,2.3568461,2.1730908,2.3827705,2.7477723,3.2773789
Slovak Republic,energy use,1.4258444,1.4821897,1.5517996,1.6245164,1.677586,1.7391949,1.8299947,1.9214069,1.9594082,1.9848577,1.9434098,1.8989909,1.9194346,2.016984,2.0734346,2.0677397,2.1290246,2.156811,2.1551529,2.1327458,1.9126767,1.8093938,1.7758797,1.7432417,1.777796,1.8074528,1.8096695,1.7553323,1.7652615,1.7743064,1.8593058,1.8732514,1.8638915,1.8353047,1.8830459,1.8640418,1.7848643,1.830407,1.6722558,1.7813254
South Africa,energy use,4.542894,4.6194695,4.9183822,5.0999168,5.3971469,5.5835221,5.6992882,6.0217108,6.2185793,6.538238,7.1922266,7.8216097,7.964189,8.6407123,8.6400075,8.9978794,9.323841,9.7010948,9.2901589,9.0956064,9.4980766,8.8586054,9.4937949,9.8168399,10.3580898,10.6152905,10.8372473,10.6516349,10.9056448,10.9263611,11.2399195,10.9907892,11.7373966,12.8721939,12.8193339,12.7235579,13.7294337,14.772557,14.4278046,13.6866931
Spain,energy use,4.2606178,4.4833885,5.157204,5.5894327,5.7489453,6.171927,6.0652369,6.4786234,6.5783808,6.76937,6.872464,6.6870572,6.8001511,6.9509219,7.0910045,7.2376225,7.4145744,8.0060688,8.8124567,9.0084864,9.3439637,9.513069,9.1272857,9.6337733,10.0791594,9.9319286,10.5592102,11.0872755,11.6236508,12.1969497,12.5049616,12.8902858,13.3245089,13.9080744,14.1869601,14.1742339,14.3829028,13.9031435,12.745573,12.7739454
Sri Lanka,energy use,0.3797919,0.4045504,0.4133988,0.3927612,0.4108939,0.4136502,0.4096704,0.4320767,0.4486088,0.4534779,0.4625043,0.4893168,0.4917781,0.5066213,0.4995664,0.5160988,0.5360725,0.5437501,0.5454558,0.5516182,0.5599655,0.5745811,0.6057617,0.5817112,0.594927,0.6720477,0.6964425,0.7079824,0.7560546,0.8326569,0.8049573,0.8198521,0.8682011,0.8797975,0.9000817,0.9083326,0.9261356,0.8941904,0.9088772,0.9869901
Sudan,energy use,0.7027827,0.7150024,0.7366,0.744322,0.7466991,0.7475766,0.7702031,0.7820841,0.7896995,0.8365125,0.8446105,0.882589,0.9110589,0.9083398,0.9468652,0.9605219,0.9454905,1.0045866,1.0041295,1.0629388,1.0608922,1.0601763,1.029618,1.1934451,1.1979125,1.2271154,1.2536206,1.267742,1.4068145,1.3340266,1.4009401,1.5232549,1.5429663,1.5546334,1.5130516,1.5597557,1.5097889,1.5086466,1.5868875,1.6154793
Sweden,energy use,3.6040684,3.6771388,3.8841219,3.6805012,3.9032858,4.2355062,4.1710163,4.1516935,4.3372681,4.0485447,4.2410888,4.0608755,4.1155919,4.3485828,4.7231346,4.9204445,4.8400375,4.9390735,4.7514286,4.7198124,4.8694838,4.6543922,4.6505622,4.9699958,5.0332723,5.1498737,5.0175165,5.1067351,5.0149029,4.7555792,5.0531548,5.1783589,5.0617918,5.2588271,5.1569035,5.020682,5.0059598,4.960127,4.5406513,5.1281632
Switzerland,energy use,1.6388901,1.707813,1.8909459,1.7651393,1.7182592,1.7779445,1.8075918,1.8813911,1.9148586,2.003616,1.9655205,1.9073093,2.0368741,2.0867584,2.2079416,2.3054011,2.2455313,2.2660649,2.2194594,2.4319621,2.4670441,2.4794239,2.4176303,2.4409693,2.4057661,2.4524536,2.5004158,2.5305193,2.5349178,2.5011875,2.6564112,2.5892861,2.600266,2.6096273,2.5946642,2.7090051,2.5765341,2.6777062,2.6973503,2.6207849
Syria,energy use,0.2378138,0.1979511,0.2058458,0.2646791,0.3052917,0.3457394,0.3843328,0.420156,0.5448881,0.4465188,0.5331626,0.6395161,0.7333218,0.8440817,0.7832045,0.80441,0.8945535,0.9265178,0.9299989,1.0465307,1.1402158,1.0908604,1.0963552,1.1439296,1.2098028,1.2773287,1.3869222,1.557628,1.5662222,1.5764804,1.5638173,1.6735357,1.6542655,1.7937162,2.0792054,2.1629615,2.2802894,2.3051834,2.1232849,2.1734057
Tanzania,energy use,0.757647,0.7645514,0.7692944,0.7667018,0.7671005,0.7748086,0.7750591,0.7838366,0.7912076,0.8015041,0.8129099,0.8250489,0.8420485,0.8585322,0.876756,0.8981212,0.9145627,0.9310802,0.9515159,0.973294,0.9932458,1.0060703,1.0333552,1.0519404,1.1021752,1.1158082,1.1266306,1.1933157,1.2751169,1.3389944,1.4202899,1.4916291,1.5491193,1.6197713,1.7168377,1.7846918,1.8342123,1.8963689,1.9405652,2.0078061
Thailand,energy use,1.368932,1.4369516,1.5607354,1.5940765,1.73405,1.8834995,2.0054297,2.0839208,2.201323,2.2002024,2.2239639,2.2488162,2.0660175,2.2812996,2.4738397,2.598547,2.8704286,3.2729978,3.6616379,4.1943931,4.554798,4.8527959,5.1206387,5.6623585,6.1924038,6.9241458,7.0531759,6.6132191,7.0602531,7.2284396,7.4385215,8.2256943,8.9107426,9.6291171,9.9165875,10.1043244,10.4886244,10.7655685,10.7300223,11.7428736
Togo,energy use,0.0726753,0.0746289,0.0746284,0.0745999,0.0777427,0.0778414,0.0826087,0.0849825,0.0884144,0.0887827,0.0905873,0.0954199,0.0931001,0.0967743,0.0986239,0.1076291,0.1139183,0.1162983,0.119889,0.126324,0.1293832,0.1309652,0.1315844,0.1488085,0.1566256,0.1756175,0.1730835,0.1850104,0.2115237,0.2110736,0.2105747,0.2181626,0.2302761,0.2327027,0.2371755,0.2367865,0.2458068,0.2562691,0.2627605,0.2688962
Trinidad and Tobago,energy use,0.2637512,0.2686232,0.2638795,0.2674639,0.2321391,0.2577716,0.2920199,0.3508321,0.363394,0.3827953,0.4064361,0.4088219,0.4237381,0.478742,0.509088,0.5321107,0.5006497,0.5492525,0.5333139,0.5987366,0.5950672,0.6541753,0.6260653,0.6297084,0.6149432,0.7272464,0.68555,0.79601,0.9057303,1.0672791,1.1517185,1.230968,1.3608704,1.4118077,1.6778403,1.9573516,2.017973,1.934111,2.0270912,2.1347133
Tunisia,energy use,0.165566,0.1809271,0.188603,0.2100956,0.2173274,0.2318375,0.2516682,0.2763385,0.3001323,0.3267939,0.3371782,0.3317812,0.3771282,0.3995905,0.4162116,0.4104426,0.4170093,0.4380697,0.4364854,0.4946168,0.4898309,0.5447889,0.5302651,0.5731042,0.5804323,0.6067073,0.6257652,0.682042,0.7049927,0.730591,0.7711126,0.7813638,0.8027585,0.8462733,0.8314425,0.8751725,0.9038797,0.9426918,0.9045073,0.962931
Turkey,energy use,1.9543716,2.2072568,2.4354869,2.5203408,2.6756317,2.911678,3.1931478,3.1809575,3.0244168,3.1444691,3.1708831,3.3701369,3.5680819,3.7114063,3.9315665,4.2358191,4.6911902,4.7314568,4.9094067,5.275604,5.2088959,5.3683247,5.689077,5.6199772,6.1545117,6.6935602,7.0481134,7.168193,7.0376209,7.6348213,7.0401701,7.4247891,7.7833241,8.0857714,8.4379093,9.3034988,10.0005025,9.8501727,9.7660685,10.5133109
United Arab Emirates,energy use,0.101196,0.1051108,0.1304934,0.1341198,0.1937391,0.2460857,0.4107366,0.4770301,0.5569255,0.7232082,0.8871029,0.9667871,0.9314268,1.2076439,1.3716382,1.5584263,1.729999,1.7743732,2.0486802,2.0424067,2.34889,2.2355925,2.351255,2.6053716,2.7685739,3.127631,3.0876024,3.2061505,3.2612795,3.3945348,3.7364507,4.0578236,4.0190921,4.2308582,4.3229389,4.5903303,5.1962938,5.8328893,6.0352073,6.2132748
United Kingdom,energy use,20.8676419,21.0208467,21.8071301,21.0010049,19.9366405,20.3317313,20.7656524,20.6546613,21.7055632,19.8431522,19.2447608,19.1367235,19.0307907,18.9955497,20.0784943,20.395351,20.5551401,20.7404534,20.697272,20.5919952,21.2937887,21.221177,21.4261543,21.578827,21.626387,22.5574791,21.9252842,22.1482644,22.2040097,22.2936248,22.3770292,21.8451524,22.2248731,22.1907871,22.236627,21.8985927,21.0967834,20.8391987,19.7073414,20.2506318
United States,energy use,158.7469891,166.6785355,172.9941116,169.1496707,165.3546214,176.6206084,182.4805849,187.8261949,187.4042371,180.4678442,175.4849967,168.1667254,168.3139814,175.5293762,177.4100996,177.1218275,184.6781897,191.9309241,194.7401058,191.4996334,193.0629906,196.9359184,200.393274,204.1105156,206.7213345,211.3130477,213.4504938,215.2669342,221.0902907,227.3331687,223.0816894,225.5957295,226.1151295,230.7819192,231.8861102,229.668619,233.7013725,227.7034423,216.4971703,221.6323989
Uruguay,energy use,0.2416827,0.2463076,0.2386714,0.2350625,0.2445163,0.2481233,0.2482232,0.254197,0.2714961,0.2643308,0.2547553,0.2263402,0.2095747,0.2013504,0.1997816,0.2061341,0.2191241,0.2348933,0.2410394,0.2251153,0.244117,0.2697793,0.2517613,0.240488,0.2571997,0.2835222,0.2880565,0.2964861,0.32362,0.3091889,0.2711575,0.2538084,0.2522978,0.2869031,0.2957157,0.3182672,0.3172144,0.4153147,0.4207044,0.4165033
Venezuela,energy use,1.9685105,1.9134943,2.1337321,2.4816054,2.5139384,2.6072027,2.7971186,2.9976361,3.1615331,3.5596005,3.7818862,3.788509,4.0667485,4.0056817,3.967943,4.1418206,4.1327639,4.0097137,4.0836507,4.3774854,4.5663256,5.0755042,4.7548541,5.4641234,5.1862205,5.5563396,5.5436785,5.8202308,5.509255,5.6762229,5.8217703,5.7861379,5.3228405,5.6796277,6.6913519,6.7467993,6.3511005,7.0167538,7.0093335,7.6947732
Vietnam,energy use,1.322236,1.3344936,1.3956241,1.3087065,1.3907289,1.2483014,1.2969688,1.3305893,1.3764112,1.4391836,1.4574336,1.5100215,1.558729,1.5773507,1.5966502,1.6728278,1.7701083,1.7866424,1.7463751,1.7866043,1.8108536,1.8901186,2.0507921,2.0522565,2.1885234,2.3112196,2.4905485,2.654141,2.7313934,2.8736049,3.0645539,3.3441374,3.5110722,3.8967724,4.1455345,4.2474796,4.5777061,4.8984163,5.3449215,5.9230338
Zambia,energy use,0.3501753,0.3736608,0.3959505,0.4129655,0.3902489,0.4345264,0.4269723,0.4297195,0.4319605,0.4498045,0.4565687,0.4678071,0.476247,0.4827985,0.4926964,0.5017204,0.5134785,0.5421385,0.542832,0.539919,0.5564885,0.5664597,0.5682563,0.5729557,0.5827996,0.5778377,0.6026273,0.6085935,0.6094542,0.6244046,0.643043,0.6633069,0.6828415,0.7005206,0.721229,0.7396325,0.7398445,0.7641333,0.7863646,0.8115282
Zimbabwe,energy use,0.5439321,0.5540902,0.5867514,0.594388,0.5916693,0.6245942,0.6065169,0.6026638,0.6138819,0.6492681,0.6584521,0.6634876,0.6801633,0.6919732,0.7405614,0.7830828,0.8550372,0.8657473,0.8851679,0.9297265,0.9855292,1.0176612,0.9735607,0.9666072,0.9841139,0.9799754,0.9702263,0.9928021,1.0588347,0.9886472,0.9709302,0.9709738,0.9517639,0.9287148,0.9703168,0.9652642,0.9721288,0.9273701,0.9412336,0.9604764
