Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lebanon,population,2528423,2597588,2665458,2723330,2765289,2788641,2796136,2794001,2791308,2794638,2807342,2827767,2851609,2872204,2885481,2888455,2884778,2884840,2902893,2948372,3026061,3130785,3249799,3364891,3462974,3539137,3597350,3644171,3690033,3742329,3802903,3868504,3935421,3998042,4052420,4097457,4134872,4166915,4196990,4227597
Libya,population,2079897,2169965,2264278,2362900,2466000,2572300,2681887,2797780,2924086,3063000,3216430,3381390,3549220,3708142,3849801,3970886,4074021,4164147,4249018,4334459,4421885,4509970,4598629,4687106,4775009,4862665,4951076,5041233,5134324,5231189,5331311,5434293,5541062,5652797,5769709,5893738,6023053,6149620,6262667,6355112
Luxembourg,population,342560,346805,351409,355635,358956,361239,362669,363435,363846,364158,364405,364589,364897,365550,366716,368467,370806,373733,377218,381225,385755,390778,396179,401804,407522,413377,419355,425216,430650,435491,439509,442882,446340,450888,457197,465586,475714,486781,497637,507448
Malaysia,population,11182967,11461117,11742976,12027040,12312736,12600292,12891897,13191366,13503629,13832586,14178739,14542156,14925545,15331937,15762856,16220169,16701745,17200067,17704839,18208562,18707774,19204087,19701263,20205446,20720810,21247102,21781499,22322448,22867698,23414909,23964621,24515323,25060184,25590453,26100241,26586287,27051142,27502008,27949395,28401017
Mexico,population,53441943,55081201,56771626,58492118,60224601,61969362,63723359,65461471,67152555,68776411,70318386,71788766,73223336,74673296,76175154,77741110,79358780,81010093,82666457,84306602,85923799,87523328,89109703,90691331,92272749,93858373,95441345,97001933,98513690,99959594,101329543,102634153,103902569,105175967,106483757,107835259,109220753,110627158,112033369,113423047
Morocco,population,15706226,16099392,16493298,16893643,17304995,17726625,18158169,18604851,19073204,19566920,20088209,20633004,21190800,21747150,22291062,22818601,23330761,23827539,24310585,24781105,25237951,25679802,26107772,26523600,26928600,27323664,27708647,28082684,28444414,28793236,29129204,29453931,29770316,30082152,30392473,30702084,31011199,31321453,31634524,31951412
Mozambique,population,9665565,9882427,10109426,10353943,10620268,10908878,11214834,11530022,11843382,12145501,12441643,12731231,12992962,13199259,13334972,13384409,13365201,13336217,13378100,13547076,13867422,14318167,14854590,15409381,15933452,16412893,16862385,17295521,17735992,18200656,18691461,19200021,19721009,20246287,20770013,21290952,21811326,22332900,22858607,23390765
Myanmar,population,26807570,27475978,28160632,28849728,29534378,30210895,30880196,31543652,32204485,32864901,33524053,34179992,34832636,35481981,36127741,36770437,37409257,38041034,38661616,39268304,39855885,40425088,40985963,41552659,42133199,42735941,43352191,43952526,44496687,44957660,45323903,45609292,45843675,46070248,46321162,46605278,46915826,47250315,47601374,47963012
Nepal,population,12189968,12472000,12763547,13064044,13373069,13690544,14016547,14351017,14693930,15045329,15405456,15774532,16152598,16539682,16936006,17341408,17756510,18183258,18624187,19081064,19554170,20042806,20546441,21064150,21594872,22137784,22691788,23255046,23825372,24400606,24980184,25562573,26143530,26717875,27281945,27833665,28373838,28905358,29432743,29959364
Netherlands,population,13097251,13231426,13360546,13483746,13600423,13710713,13814863,13912617,14003707,14088274,14166213,14238594,14308217,14378740,14452941,14531566,14614382,14701901,14794378,14891719,14994691,15102709,15212612,15320112,15422165,15517122,15605817,15690705,15775532,15862825,15953446,16045935,16137709,16225091,16305457,16377959,16443483,16503263,16559268,16612988
